job_link,platform,job_title,location,job_employment_type,job_maturity,job_min_salary,job_max_salary,job_salary_period,job_description,employer_name,employer_rating
https://www.indeed.com/viewjob?jk=7afff456695cc1cb,Indeed,Senior Microsoft Dynamics Developer,Glasgow,Full-Time,8 days ago,,,,Open link to read requirements.,McQueens Dairies,
https://www.indeed.com/viewjob?jk=616d4ecc65442c40,Indeed,Applied AI ML Lead - Python & Agentic AI,Glasgow G2,Full-Time,8 days ago,,,,Open link to read requirements.,JPMorganChase,
https://www.indeed.com/viewjob?jk=72cde01056398188,Indeed,"Senior Lead Software Engineer - Python, Data, Cloud, AIML",Glasgow G2,Full-Time,13 days ago,,,,Open link to read requirements.,JPMorganChase,
https://www.indeed.com/viewjob?jk=07d8a2f16dc67d2e,Indeed,Senior Data Architect,Glasgow PA3,Full-Time,14 days ago,,,,Open link to read requirements.,SSE,
https://www.indeed.com/viewjob?jk=c42bc1355976aa14,Indeed,Power Platform Developer,Helensburgh,Full-Time,14 days ago,,,,Open link to read requirements.,Altrad,
https://www.indeed.com/viewjob?jk=4f806244ad9595af,Indeed,Senior Data Architect - FTC,Stirling,Full-Time,7 days ago,,,,Open link to read requirements.,M&G plc,
https://www.indeed.com/viewjob?jk=8e2a1182f19b76ac,Indeed,Data Scientist – Data & Analytics Products,Glasgow,Full-Time,5 days ago,,,,Open link to read requirements.,Experian,
https://www.indeed.com/viewjob?jk=dd0b88adcd4d0a95,Indeed,Senior Analyst Developer,Glasgow,Full-Time,8 days ago,,,,Open link to read requirements.,University of Strathclyde,
https://www.indeed.com/viewjob?jk=8e53837391b253df,Indeed,IFS Support Analyst - Finance,Glasgow G71,Full-Time,7 days ago,,,,Open link to read requirements.,March,
https://www.indeed.com/viewjob?jk=8cfb1ebeeb3a572e,Indeed,IFS Project & Procurement Support Analyst,Glasgow G71,Full-Time,6 days ago,,,,Open link to read requirements.,March,
https://www.indeed.com/viewjob?jk=ec288aae5f55fa0a,Indeed,Senior Business Analyst (Digital Waste Tracking),Holytown ML1 4WQ,Full-Time,6 days ago,,,,Open link to read requirements.,Scottish Environment Protection Agency,
