job_link,platform,job_title,location,job_employment_type,job_maturity,job_min_salary,job_max_salary,job_salary_period,job_description,employer_name,employer_rating
https://www.linkedin.com/jobs/view/4422909339,LinkedIn,Energy Analyst,"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Apatura,
https://www.linkedin.com/jobs/view/4419297774,LinkedIn,Business System Analyst,"Glasgow, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Montash,
https://www.linkedin.com/jobs/view/4422353767,LinkedIn,Lead Data Scientist,"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Standard Life plc,
https://www.linkedin.com/jobs/view/4422445551,LinkedIn,Senior Data Security Engineer,"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Standard Life plc,
https://www.linkedin.com/jobs/view/4422421522,LinkedIn,Customer Solution Engineer,"Dundee, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Optimove,
https://www.linkedin.com/jobs/view/4422458947,LinkedIn,Senior Product Engineer,"Scotland, United Kingdom",None,Recent,,,,Open target link to view core requirements.,Travelnest,
https://www.linkedin.com/jobs/view/4401928551,LinkedIn,Implementation Engineer,"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Covetrus,
https://www.linkedin.com/jobs/view/4422424158,LinkedIn,DevOps / MLOps Engineer,"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Predictiva,
https://www.linkedin.com/jobs/view/4422365132,LinkedIn,Embedded Software Engineer,"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Dunbar Brown Group,
https://www.linkedin.com/jobs/view/4381729640,LinkedIn,Senior Software Engineer - Market Making,"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,FanDuel,
https://www.linkedin.com/jobs/view/4420105448,LinkedIn,Senior Software Engineer,"Scotland, United Kingdom",None,Recent,,,,Open target link to view core requirements.,Be-IT,
https://www.linkedin.com/jobs/view/4422659445,LinkedIn,Senior Back End Software Engineer,"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Motorola Solutions,
https://www.linkedin.com/jobs/view/4422654496,LinkedIn,"Software Engineer, Frontend (TypeScript)","Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Motorola Solutions,
https://www.linkedin.com/jobs/view/4419692755,LinkedIn,Entry Level Cyber Security Analyst – Digital Services,"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,The Scottish Parliament,
https://www.linkedin.com/jobs/view/4422942928,LinkedIn,Systems Research Engineer,"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,European Tech Recruit,
https://www.linkedin.com/jobs/view/4422983075,LinkedIn,Systems Research Engineer - AI Infrastructure / Distributed Systems,"Edinburgh, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,European Tech Recruit,
https://www.linkedin.com/jobs/view/4422409878,LinkedIn,Data Analyst,"Aberdeen, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,OEG,
https://www.linkedin.com/jobs/view/4422462287,LinkedIn,Lead Data Analyst,"Aberdeen, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,SSE plc,
https://www.linkedin.com/jobs/view/4422475149,LinkedIn,Lead BI Developer,"Aberdeen, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,SSE plc,
https://www.linkedin.com/jobs/view/4419285166,LinkedIn,Senior FP&A Analyst,"Aberdeen, Scotland, UK",None,Recent,,,,Open target link to view core requirements.,Vero Recruitment,
https://www.linkedin.com/jobs/view/4422419487,LinkedIn,Analytics Engineer,"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Wrisk,
https://www.linkedin.com/jobs/view/4422409972,LinkedIn,Lead Analytics Engineer,"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Bauer Media Outdoor UK,
https://www.linkedin.com/jobs/view/4422471533,LinkedIn,Senior Analytics Engineer,"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Currys plc,
https://www.linkedin.com/jobs/view/4419606591,LinkedIn,Data and AI - AI Engineer,"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Wavestone,
https://www.linkedin.com/jobs/view/4419285065,LinkedIn,Freelance Data Science Engineer (Python & SQL),"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Mindrift,
https://www.linkedin.com/jobs/view/4419293841,LinkedIn,Data Engineer - AI,"London, England, UK",None,Recent,,,,Open target link to view core requirements.,IBM,
https://www.linkedin.com/jobs/view/4422348917,LinkedIn,Senior Data Engineer - AI,"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Anaplan,
https://www.linkedin.com/jobs/view/4423977769,LinkedIn,Analytics Engineer,"Uxbridge, England, UK",None,Recent,,,,Open target link to view core requirements.,hackajob,
https://www.linkedin.com/jobs/view/4419611454,LinkedIn,"Data & Insights Power Platform Developer, National Technology","London, England, UK",None,Recent,,,,Open target link to view core requirements.,Crowe UK,
